AAPL,2013,2014,2015,2016,2017
Revenue,61093.0,74452.0,88988.0,107006.0,135987.0
Cost of revenue,45971.0,54181.0,62752.0,71651.0,88265.0
Gross profit,15122.0,20271.0,26236.0,35355.0,47722.0
Research and development,,,,,
Sales,9723.0,12847.0,16650.0,20411.0,27284.0
Total operating expenses,14446.0,19526.0,26058.0,33122.0,43536.0
Operating income,676.0,745.0,178.0,2233.0,4186.0
Net Inc. frm Opp.,-39.0,274.0,-241.0,596.0,2371.0
Net income,-39.0,274.0,-241.0,596.0,2371.0
EBITDA,2795.0,3900.0,4845.0,8308.0,12492.0
EPS,,,,,
