AMAT,2013,2014,2015,2016,2017
Total cash,1937.0,1891.0,3162.0,4965.0,3749.0
Total current assets,5102.0,5642.0,6967.0,9261.0,8353.0
Total non-current assets,7000.0,6401.0,6207.0,6047.0,6235.0
Total assets,12102.0,12043.0,13174.0,15308.0,14588.0
Receivables,1220.0,1633.0,1670.0,1739.0,2279.0
Tot. Current Liab.,2265.0,2443.0,2823.0,3798.0,3632.0
Tot. Non-Current Liab.,2602.0,2512.0,2483.0,3897.0,3739.0
Total liabilities,4867.0,4955.0,5306.0,7695.0,7371.0
Accounts payable,396.0,582.0,613.0,658.0,813.0
Treasury stock,-11279.0,-11524.0,-11524.0,-12848.0,-14740.0
Retained earnings,12700.0,12487.0,13072.0,13967.0,15252.0
Total stockholders' equity,7235.0,7088.0,7868.0,7613.0,7217.0
