AMAT,2013,2014,2015,2016,2017
Revenue,8719.0,7509.0,9072.0,9659.0,10825.0
Cost of revenue,5406.0,4518.0,5229.0,5707.0,6314.0
Gross profit,3313.0,2991.0,3843.0,3952.0,4511.0
Research and development,1237.0,1320.0,1428.0,1451.0,1540.0
Sales,1076.0,902.0,890.0,883.0,819.0
Total operating expenses,2902.0,2559.0,2323.0,2259.0,2359.0
Operating income,411.0,432.0,1520.0,1693.0,2152.0
Net Inc. frm Opp.,109.0,256.0,1072.0,1377.0,1721.0
Net income,109.0,256.0,1072.0,1377.0,1721.0
EBITDA,833.0,855.0,1918.0,2072.0,2557.0
EPS,,,,,
