AMZN,2013,2014,2015,2016,2017
Revenue,50175.0,59825.0,66001.0,74989.0,90272.0
Cost of revenue,20634.0,25858.0,25691.0,28164.0,35138.0
Gross profit,29541.0,33967.0,40310.0,46825.0,55134.0
Research and development,6793.0,7952.0,9832.0,12282.0,13948.0
Sales,9988.0,12049.0,13982.0,15183.0,17470.0
Total operating expenses,16781.0,20001.0,23814.0,27465.0,31418.0
Operating income,12760.0,13966.0,16496.0,19360.0,23716.0
Net Inc. frm Opp.,10788.0,12214.0,13928.0,16348.0,19478.0
Net income,10737.0,12920.0,14444.0,16348.0,19478.0
EBITDA,16432.0,18518.0,22339.0,24818.0,30418.0
EPS,,,,,
