BABA,2013,2014,2015,2016,2017
Total cash,33315.0,45074.0,125999.0,115696.0,150801.0
Total current assets,43162.0,67833.0,142109.0,134070.0,182516.0
Total non-current assets,20624.0,43716.0,113325.0,230380.0,324296.0
Total assets,63786.0,111549.0,255434.0,364450.0,506812.0
Receivables,4952.0,16006.0,11163.0,11738.0,21374.0
Tot. Current Liab.,23995.0,37384.0,39672.0,52039.0,93771.0
Tot. Non-Current Liab.,39815.0,44827.0,70323.0,95424.0,134242.0
Total liabilities,63810.0,82211.0,109995.0,147463.0,228013.0
Accounts payable,,,,,
Treasury stock,,,,,-2823.0
Retained earnings,-20491.0,1183.0,24842.0,78752.0,108558.0
Total stockholders' equity,-24.0,29338.0,145439.0,216987.0,278799.0
