CRM,2013,2014,2015,2016,2017
Revenue,3050.0,4071.0,5374.0,6667.0,8392.0
Cost of revenue,684.0,968.0,1289.0,1655.0,2234.0
Gross profit,2367.0,3103.0,4084.0,5013.0,6158.0
Research and development,429.0,624.0,793.0,946.0,1208.0
Sales,2048.0,2765.0,3437.0,3988.0,4886.0
Total operating expenses,2477.0,3389.0,4230.0,4898.0,6094.0
Operating income,-111.0,-286.0,-146.0,115.0,64.0
Net Inc. frm Opp.,-270.0,-232.0,-263.0,-47.0,180.0
Net income,-270.0,-232.0,-263.0,-47.0,180.0
EBITDA,120.0,89.0,308.0,663.0,747.0
EPS,,,,,
