INTC,2013,2014,2015,2016,2017
Revenue,53341.0,52708.0,55870.0,55355.0,59387.0
Cost of revenue,20190.0,21187.0,20261.0,20676.0,23196.0
Gross profit,33151.0,31521.0,35609.0,34679.0,36191.0
Research and development,10148.0,10611.0,11537.0,12128.0,12740.0
Sales,8057.0,8088.0,8136.0,7930.0,8397.0
Total operating expenses,18513.0,19230.0,20262.0,20677.0,23317.0
Operating income,14638.0,12291.0,15347.0,14002.0,12874.0
Net Inc. frm Opp.,11005.0,9620.0,11704.0,11420.0,10316.0
Net income,11005.0,9620.0,11704.0,11420.0,10316.0
EBITDA,22485.0,20887.0,23896.0,23260.0,21459.0
EPS,,,,,
