MSFT,2013,2014,2015,2016,2017
Revenue,77849.0,86833.0,93580.0,85320.0,89950.0
Cost of revenue,20249.0,26934.0,33038.0,32780.0,34261.0
Gross profit,57600.0,59899.0,60542.0,52540.0,55689.0
Research and development,10411.0,11381.0,12046.0,11988.0,13037.0
Sales,20425.0,20632.0,20324.0,19260.0,20020.0
Total operating expenses,30836.0,32140.0,42381.0,32358.0,33363.0
Operating income,26764.0,27759.0,18161.0,20182.0,22326.0
Net Inc. frm Opp.,21863.0,22074.0,12193.0,16798.0,21204.0
Net income,21863.0,22074.0,12193.0,16798.0,21204.0
EBITDA,31236.0,33629.0,25245.0,27616.0,34149.0
EPS,,,,,
