MU,2013,2014,2015,2016,2017
Total cash,3101.0,4534.0,3521.0,4398.0,5428.0
Total current assets,8911.0,10245.0,8596.0,9495.0,12457.0
Total non-current assets,10207.0,12253.0,15547.0,18045.0,22879.0
Total assets,19118.0,22498.0,24143.0,27540.0,35336.0
Receivables,2069.0,2524.0,2188.0,1765.0,3490.0
Tot. Current Liab.,4125.0,4811.0,3905.0,4835.0,5334.0
Tot. Non-Current Liab.,5851.0,6916.0,7936.0,10625.0,11381.0
Total liabilities,9976.0,11727.0,11841.0,15460.0,16715.0
Accounts payable,1048.0,1119.0,1020.0,1186.0,1333.0
Treasury stock,,,-881.0,-1029.0,-67.0
Retained earnings,-212.0,2729.0,5588.0,5299.0,10260.0
Total stockholders' equity,9142.0,10771.0,12302.0,12080.0,18621.0
