MU,2013,2014,2015,2016,2017
Revenue,9073.0,16358.0,16192.0,12399.0,20322.0
Cost of revenue,7226.0,10921.0,10977.0,9894.0,11886.0
Gross profit,1847.0,5437.0,5215.0,2505.0,8436.0
Research and development,931.0,1371.0,1540.0,1617.0,1824.0
Sales,562.0,707.0,719.0,659.0,743.0
Total operating expenses,1611.0,2350.0,2217.0,2337.0,2568.0
Operating income,236.0,3087.0,2998.0,168.0,5868.0
Net Inc. frm Opp.,1194.0,3079.0,2899.0,-275.0,5090.0
Net income,1190.0,3045.0,2899.0,-276.0,5089.0
EBITDA,3320.0,5188.0,5647.0,3136.0,9658.0
EPS,,,,,
