,Coin,Pair,Coin%Rtn,Pair%Rtn,Corr,Diff.,score
15,BTC_NAV,BTC_LSK,0.01511,0.00086,0.05254,0.01425,0.179
17,BTC_STORJ,BTC_ETH,0.00853,-0.0011,0.05626,0.00963,0.18322
18,BTC_LSK,BTC_ETH,0.00086,-0.0011,0.10452,0.00196,0.3165
16,BTC_STRAT,BTC_ETH,0.0178,-0.0011,0.1171,0.0189,0.37965
19,BTC_VTC,BTC_ETH,-0.02318,-0.0011,0.1283,-0.02208,0.41802
8,BTC_ETH,BTC_ETC,-0.0011,0.00067,0.29297,-0.00177,0.88156
11,BTC_XMR,USDT_XMR,0.00602,0.00193,0.29584,0.00409,0.89366
12,BTC_DASH,USDT_DASH,-0.00033,-0.00097,0.29874,0.00064,0.89718
5,USDT_DASH,USDT_BTC,-0.00097,-0.00202,0.36829,0.00105,1.10645
20,USDT_NXT,USDT_BTC,0.01518,-0.00202,0.39446,0.0172,1.20918
21,USDT_ZEC,USDT_BTC,-0.00102,-0.00202,0.41183,0.001,1.23699
14,BTC_LTC,USDT_LTC,-0.00644,-0.00728,0.44223,0.00084,1.32795
10,BTC_ETC,USDT_ETC,0.00067,-0.00877,0.43913,0.00944,1.33155
3,USDT_ETC,BTC_ETC,-0.00877,0.00067,0.43913,-0.00944,1.33155
4,USDT_XMR,USDT_BTC,0.00193,-0.00202,0.44633,0.00395,1.34492
7,USDT_LTC,USDT_BTC,-0.00728,-0.00202,0.52793,-0.00526,1.59168
1,USDT_ETH,USDT_BTC,-0.00375,-0.00202,0.53709,-0.00173,1.61386
0,USDT_BTC,USDT_ETH,-0.00202,-0.00375,0.53709,0.00173,1.61386
13,BTC_XRP,USDT_XRP,-0.00845,-0.00666,0.66203,-0.00179,1.98878
6,USDT_XRP,BTC_XRP,-0.00666,-0.00845,0.66203,0.00179,1.98878
2,USDT_BCH,BTC_BCH,1e-05,-0.00209,0.7351,0.0021,2.20845
9,BTC_BCH,USDT_BCH,-0.00209,1e-05,0.7351,-0.0021,2.20845
